iter	RMSE
0	0.02617225661
1	0.02541254872
2	0.02470075149
3	0.02404854338
4	0.02347707194
5	0.02298323708
6	0.02243734741
7	0.02198081081
8	0.02155667432
9	0.02117534835
10	0.02077905375
11	0.02043438184
12	0.02012197825
13	0.0198278393
14	0.01955615687
15	0.01929694209
16	0.01906106769
17	0.018858648
18	0.0186613621
19	0.01848720589
20	0.01831585763
21	0.01814752109
22	0.01799337126
23	0.0178523316
24	0.01771937243
25	0.0175885056
26	0.01747427754
27	0.01737942484
28	0.01729165182
29	0.01721479302
30	0.01713297931
31	0.01705435243
32	0.01697962458
33	0.01690909048
34	0.01685141399
35	0.01679245654
36	0.01673775391
37	0.0166839937
38	0.01662819932
39	0.01658594848
40	0.01653576587
41	0.01650002965
42	0.01646007484
43	0.01642168407
44	0.01638972342
45	0.01634712494
46	0.01631027144
47	0.01627152687
48	0.0162367045
49	0.01620038277
50	0.01617313943
51	0.01614456948
52	0.01611333819
53	0.01609143538
54	0.01606528915
55	0.01604444536
56	0.01602767948
57	0.01600824319
58	0.01598570697
59	0.01595951348
60	0.01593500734
61	0.01591760478
62	0.0158985604
63	0.01587630035
64	0.01586065605
65	0.0158375568
66	0.01581816253
67	0.01580296407
68	0.01578446575
69	0.01576421557
70	0.01574471283
71	0.01572362193
72	0.01570382626
73	0.01568954891
74	0.01567248035
75	0.01565924565
76	0.01564366021
77	0.015633391
78	0.01562280956
79	0.01560620083
80	0.01559110003
81	0.01557712155
82	0.01556448775
83	0.01554962201
84	0.01553613722
85	0.01552598687
86	0.01551228884
87	0.01550262161
88	0.01548815451
89	0.01547666692
90	0.01546234074
91	0.01545037023
92	0.01544000554
93	0.0154276931
94	0.015416588
95	0.0154047511
96	0.01539326755
97	0.01538367924
98	0.01537210308
99	0.0153606777
100	0.0153519886
101	0.01534253147
102	0.0153366165
103	0.01533037347
104	0.0153177813
105	0.01531258486
106	0.01530446145
107	0.01529517137
108	0.01528794576
109	0.0152766838
110	0.01526736341
111	0.01526091821
112	0.01525031556
113	0.01524108759
114	0.01523461933
115	0.01522499839
116	0.01521685672
117	0.01520622648
118	0.01519621454
119	0.01518988468
120	0.01518498919
121	0.01517382461
122	0.01516831973
123	0.01515990363
124	0.01515024267
125	0.01514396582
126	0.01513322759
127	0.01512275048
128	0.0151164424
129	0.01510967973
130	0.01510464492
131	0.01509674461
132	0.01509262266
133	0.01508475553
134	0.01507707512
135	0.01506894243
136	0.01506514587
137	0.01506091661
138	0.01505547254
139	0.01504497237
140	0.01503689521
141	0.01503173447
142	0.01502700173
143	0.01502041294
144	0.01501410034
145	0.01500779495
146	0.01499870541
147	0.01498820004
148	0.01498180785
149	0.01497759377
150	0.01497014698
151	0.0149644123
152	0.01496203058
153	0.01495430035
154	0.0149449219
155	0.01493853509
156	0.01492851137
157	0.01492106858
158	0.01491512947
159	0.01490714681
160	0.01490088598
161	0.01489139074
162	0.01488347555
163	0.01487712685
164	0.01486935946
165	0.01486386936
166	0.01485640163
167	0.014850269
168	0.01484208665
169	0.01483166112
170	0.01482415514
171	0.01481802737
172	0.01481461274
173	0.01480664948
174	0.01480009048
175	0.01479399387
176	0.01478924005
177	0.01478453504
178	0.01477639989
179	0.01477061868
180	0.01476219597
181	0.01475806815
182	0.01475072471
183	0.01474141477
184	0.01473491468
185	0.0147264801
186	0.01471997795
187	0.01471391536
188	0.0147076746
189	0.01470160412
190	0.01469399349
191	0.01468656874
192	0.01468143297
193	0.01467473151
194	0.01466900772
195	0.0146623623
196	0.01465532982
197	0.01464849497
198	0.01464532588
199	0.01464240462
200	0.01463664862
201	0.01462581338
202	0.01462111658
203	0.01461795677
204	0.01461253966
205	0.01460456679
206	0.01459888016
207	0.01459631921
208	0.01459034752
209	0.01458332599
210	0.01457303365
211	0.01456914819
212	0.01456460352
213	0.01455911076
214	0.01454915115
215	0.01454278218
216	0.01453847987
217	0.01453136664
218	0.01452357012
219	0.01451508056
220	0.01450958897
221	0.01450113494
222	0.01449671956
223	0.01449125465
224	0.01448295161
225	0.01447386421
226	0.01446494135
227	0.01445982511
228	0.01445563724
229	0.01445189117
230	0.01444354706
231	0.01443727878
232	0.01442994011
233	0.01442602008
234	0.01442220725
235	0.01441784932
236	0.01440889414
237	0.01440040454
238	0.01439577401
239	0.01439298874
240	0.01438577941
241	0.01438214802
242	0.0143777525
243	0.01437310323
244	0.01436827345
245	0.01436257037
246	0.01435835585
247	0.0143514045
248	0.01434542727
